epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1072,1.45223,3.32406,1.16199,0.59554,0.11979,0.10365,0.06298,1.36083,2.15096,1.11174,0.000132883,0.000132883,0.000132883
2,67.5593,1.42356,2.2433,1.17132,0.67236,0.15496,0.13611,0.0865,1.3313,1.89784,1.10711,0.000257431,0.000257431,0.000257431
3,99.9395,1.38437,2.04035,1.16109,0.56155,0.18055,0.16316,0.10168,1.3097,1.70307,1.10191,0.000373179,0.000373179,0.000373179
4,131.524,1.36695,1.91453,1.15004,0.60072,0.1929,0.17265,0.10846,1.2841,1.66555,1.08647,0.0003604,0.0003604,0.0003604
5,163.304,1.32782,1.81436,1.12958,0.55458,0.21755,0.19436,0.12272,1.25971,1.53956,1.07159,0.0003472,0.0003472,0.0003472
6,195.385,1.30811,1.69731,1.11788,0.56379,0.2211,0.20859,0.13057,1.25321,1.52783,1.07075,0.000334,0.000334,0.000334
7,227.378,1.28759,1.64643,1.11168,0.57446,0.22273,0.22572,0.14386,1.25747,1.45781,1.06754,0.0003208,0.0003208,0.0003208
8,259.44,1.28528,1.60452,1.1088,0.57543,0.23253,0.23831,0.15284,1.22357,1.38921,1.06042,0.0003076,0.0003076,0.0003076
9,291.28,1.26725,1.55959,1.10314,0.60262,0.26035,0.25229,0.1602,1.22716,1.35397,1.05509,0.0002944,0.0002944,0.0002944
10,323.465,1.24157,1.49348,1.09198,0.65442,0.24515,0.26062,0.16647,1.21535,1.35495,1.05611,0.0002812,0.0002812,0.0002812
11,354.311,1.23769,1.47421,1.09206,0.60036,0.25586,0.26167,0.16618,1.2078,1.32645,1.04501,0.000268,0.000268,0.000268
12,385.792,1.23692,1.45796,1.08697,0.64326,0.25364,0.27745,0.17741,1.20535,1.30748,1.05092,0.0002548,0.0002548,0.0002548
13,417.378,1.21116,1.39327,1.07251,0.61225,0.26734,0.28064,0.1805,1.19611,1.28345,1.0398,0.0002416,0.0002416,0.0002416
14,448.927,1.20879,1.36218,1.07064,0.64156,0.2733,0.28954,0.18815,1.18335,1.24901,1.03713,0.0002284,0.0002284,0.0002284
15,480.702,1.18567,1.33025,1.06141,0.56363,0.29178,0.2934,0.19259,1.18517,1.23655,1.03796,0.0002152,0.0002152,0.0002152
16,512.798,1.19772,1.32454,1.06089,0.55297,0.27862,0.30552,0.19802,1.18147,1.2276,1.03003,0.000202,0.000202,0.000202
17,544.193,1.18459,1.29765,1.06271,0.66049,0.25826,0.29392,0.19099,1.18228,1.20805,1.03496,0.0001888,0.0001888,0.0001888
18,575.721,1.16544,1.26183,1.0541,0.59101,0.30127,0.31466,0.20469,1.18024,1.20061,1.036,0.0001756,0.0001756,0.0001756
19,608.194,1.17015,1.25705,1.05429,0.63899,0.27227,0.30605,0.19843,1.16967,1.19943,1.03272,0.0001624,0.0001624,0.0001624
20,639.678,1.18463,1.26351,1.05563,0.56138,0.30744,0.3093,0.20257,1.17095,1.16991,1.03304,0.0001492,0.0001492,0.0001492
21,671.688,1.14909,1.22715,1.03595,0.58788,0.30213,0.31468,0.2065,1.18356,1.19595,1.03754,0.000136,0.000136,0.000136
22,703.161,1.12937,1.17552,1.02862,0.53327,0.30207,0.30742,0.20074,1.17979,1.20375,1.03337,0.0001228,0.0001228,0.0001228
23,733.979,1.12274,1.15637,1.0247,0.58628,0.30215,0.3228,0.21239,1.15951,1.16233,1.02629,0.0001096,0.0001096,0.0001096
24,764.743,1.11188,1.13574,1.01984,0.62059,0.30018,0.32863,0.21851,1.16154,1.16542,1.02413,9.64e-05,9.64e-05,9.64e-05
25,795.727,1.10983,1.11685,1.01249,0.61456,0.29171,0.33515,0.22225,1.15625,1.15213,1.0239,8.32e-05,8.32e-05,8.32e-05
26,826.165,1.09782,1.10356,1.0127,0.61822,0.29862,0.335,0.22139,1.15943,1.14492,1.02213,7e-05,7e-05,7e-05
27,856.806,1.08588,1.07905,1.00083,0.6231,0.29435,0.34039,0.22593,1.15669,1.13932,1.02114,5.68e-05,5.68e-05,5.68e-05
28,886.731,1.07949,1.07165,1.00557,0.63193,0.286,0.33358,0.22153,1.15962,1.14068,1.0231,4.36e-05,4.36e-05,4.36e-05
29,917.236,1.08136,1.06295,1.00349,0.57185,0.32464,0.3406,0.22844,1.15288,1.1304,1.01993,3.04e-05,3.04e-05,3.04e-05
30,947.82,1.06909,1.04781,1.0036,0.62065,0.29529,0.34052,0.22637,1.15224,1.12563,1.02042,1.72e-05,1.72e-05,1.72e-05
